id,titulo_obra,descripcion_obra,tipo_geometria,coordenadas
ci9buk7tb2misjmm4n19ntstv,Departamento de Caaguazú,"Uno de los departamentos beneficiados con el proyecto de mantenimiento de rutas no pavimentadas. Cerca de 53 mil personas beneficiadas con las obras en los tramos que unen los distritos Colonias Unidas, Raúl Arsenio Oviedo y J. E. Estigarribia.",Point,"[-55.79956, -25.2596]"
ci9buk7te2mitjmm4krmmrdgw,Departamento de San Pedro,"Uno de los departamentos beneficiados con el mantenimiento de rutas no pavimentadas. Son beneficiarios más de 60 mil personas de los distritos de Chore, Colonia Cocuerá, Jhugua Rey, y Gral. Aquino.",Point,"[-56.694946, -24.031413]"
ci9buk7tf2miujmm4ccaw0o9w,Departamento de Caazapá,Uno de los departamentos beneficiados con el mejoramiento y mantenimiento de rutas no pavimentadas.Las obras en el tramo que une Caazapá – Boquerón benefician a  unas 22.074 personas.,Point,"[-56.195068, -26.372185]"
ci9buk7th2mivjmm4b0ygb2nc,GMANS 5 (Ruta 4),Rehabilitación y Mejoramiento de la Ruta 4. Tramo: San Ignacio (Misiones) - Pilar (Ñe'embucú).,LineString,"[[-57.031831, -26.886095], [-57.04638, -26.883799], [-57.047753, -26.883263], [-57.05286, -26.881119], [-57.057194, -26.880277], [-57.065477, -26.878822], [-57.071056, -26.87821], [-57.081441, -26.878669], [-57.08436, -26.878401], [-57.089166, -26.877865], [-57.094359, -26.877023], [-57.098822, -26.87576], [-57.099637, -26.875186], [-57.107234, -26.870286], [-57.112984, -26.868066], [-57.114357, -26.8673], [-57.119979, -26.860906], [-57.122168, -26.858571], [-57.123627, -26.857958], [-57.129936, -26.855929], [-57.135429, -26.854245], [-57.136845, -26.854206], [-57.13809, -26.854551], [-57.14178, -26.855432], [-57.14487, -26.856312], [-57.146844, -26.857461], [-57.152853, -26.860945], [-57.164955, -26.867759], [-57.170276, -26.87063], [-57.172164, -26.870745], [-57.175126, -26.870669], [-57.181048, -26.870592], [-57.186927, -26.871339], [-57.191176, -26.871875], [-57.194716, -26.872372], [-57.19609, -26.872525], [-57.197763, -26.872755], [-57.199673, -26.873004], [-57.200403, -26.873214], [-57.201626, -26.873923], [-57.205574, -26.876373], [-57.207098, -26.877215], [-57.208106, -26.877598], [-57.209887, -26.877885], [-57.211539, -26.877885], [-57.213492, -26.877885], [-57.215209, -26.877885], [-57.216711, -26.877827], [-57.217547, -26.877904], [-57.218255, -26.877923], [-57.219071, -26.878038], [-57.220444, -26.878478], [-57.223427, -26.879531], [-57.228534, -26.882248], [-57.230744, -26.883894], [-57.233018, -26.885406], [-57.23495, -26.886382], [-57.237911, -26.887837], [-57.241365, -26.889674], [-57.244863, -26.891454], [-57.247223, -26.892889], [-57.250592, -26.895205], [-57.25351, -26.897195], [-57.254154, -26.897578], [-57.254819, -26.897826], [-57.25615, -26.898267], [-57.258596, -26.899051], [-57.263445, -26.900544], [-57.271943, -26.903242], [-57.273359, -26.903701], [-57.275118, -26.904237], [-57.276663, -26.904562], [-57.279217, -26.904907], [-57.284882, -26.905749], [-57.291383, -26.90661], [-57.294001, -26.906954], [-57.295846, -26.907241], [-57.2987, -26.907624], [-57.304151, -26.908389], [-57.307863, -26.908772], [-57.31106, -26.90904], [-57.317969, -26.909575], [-57.326788, -26.910035], [-57.330501, -26.91013], [-57.333354, -26.909977], [-57.344384, -26.909317], [-57.347989, -26.909068], [-57.349877, -26.908992], [-57.35081, -26.908954], [-57.351754, -26.908934], [-57.35361, -26.909021], [-57.356679, -26.909212], [-57.359983, -26.909059], [-57.362773, -26.908982], [-57.365691, -26.908867], [-57.371227, -26.908657], [-57.382493, -26.908159], [-57.383737, -26.908064], [-57.385625, -26.907605], [-57.388694, -26.906552], [-57.404165, -26.9015], [-57.405645, -26.900984], [-57.407126, -26.900563], [-57.408006, -26.900448], [-57.410173, -26.900333], [-57.419357, -26.899893], [-57.433798, -26.8993], [-57.448239, -26.898554], [-57.449934, -26.898113], [-57.455685, -26.896716], [-57.462444, -26.895434], [-57.47137, -26.893903], [-57.477679, -26.893635], [-57.478945, -26.893463], [-57.480254, -26.893214], [-57.482743, -26.892296], [-57.484717, -26.89176], [-57.486133, -26.891569], [-57.489824, -26.891071], [-57.49094, -26.890688], [-57.492249, -26.890133], [-57.497313, -26.887033], [-57.499866, -26.885406], [-57.502377, -26.883722], [-57.508835, -26.879435], [-57.509801, -26.878976], [-57.512869, -26.877712], [-57.516109, -26.876373], [-57.518148, -26.875492], [-57.522836, -26.873033], [-57.533769, -26.867338], [-57.534842, -26.86707], [-57.537825, -26.866343], [-57.542116, -26.864984], [-57.54276, -26.86485], [-57.543897, -26.864754], [-57.546579, -26.864601], [-57.549304, -26.86439], [-57.55115, -26.86418], [-57.552244, -26.864218], [-57.557458, -26.864773], [-57.565934, -26.865692], [-57.574539, -26.866496], [-57.575697, -26.866496], [-57.58825, -26.864907], [-57.589902, -26.864811], [-57.591447, -26.864965], [-57.610158, -26.86931], [-57.626724, -26.873272], [-57.631487, -26.874439], [-57.632324, -26.874746], [-57.633161, -26.875148], [-57.638118, -26.878133], [-57.641808, -26.88043], [-57.645585, -26.882746], [-57.648739, -26.884698], [-57.650241, -26.885617], [-57.651958, -26.886497], [-57.652773, -26.886765], [-57.654125, -26.887062], [-57.658095, -26.887684], [-57.66214, -26.88843], [-57.672171, -26.890152], [-57.692406, -26.893674], [-57.694594, -26.893923], [-57.696247, -26.893884], [-57.700088, -26.893674], [-57.709808, -26.893195], [-57.719378, -26.892621], [-57.720923, -26.89243], [-57.722682, -26.891894], [-57.724099, -26.891243], [-57.72839, -26.888851], [-57.733647, -26.885923], [-57.736308, -26.88443], [-57.738904, -26.882842], [-57.744827, -26.878516], [-57.753388, -26.872277], [-57.755513, -26.87063], [-57.757315, -26.869444], [-57.758023, -26.869099], [-57.759311, -26.868602], [-57.760963, -26.868123], [-57.76225, -26.868008], [-57.765233, -26.86797], [-57.775125, -26.868085], [-57.794651, -26.868295], [-57.802848, -26.868353], [-57.803953, -26.868319], [-57.804769, -26.868238], [-57.80559, -26.868133], [-57.819285, -26.866419], [-57.838629, -26.864094], [-57.846987, -26.863041], [-57.850753, -26.862581], [-57.8544, -26.862084], [-57.855355, -26.862007], [-57.856031, -26.86194], [-57.856718, -26.861921], [-57.857866, -26.861998], [-57.859067, -26.862208], [-57.860162, -26.862505], [-57.861857, -26.863271], [-57.8647, -26.864706], [-57.873079, -26.868917], [-57.886136, -26.875463], [-57.887005, -26.875779], [-57.888185, -26.876105], [-57.889409, -26.876373], [-57.890546, -26.876554], [-57.891683, -26.876621], [-57.893271, -26.876602], [-57.894859, -26.876449], [-57.896447, -26.876066], [-57.899923, -26.874841], [-57.90224, -26.874267], [-57.903571, -26.874152], [-57.907519, -26.874152], [-57.909064, -26.873923], [-57.925844, -26.87109], [-57.926959, -26.87063], [-57.928762, -26.869788], [-57.94434, -26.862514], [-57.945413, -26.862132], [-57.946915, -26.861672], [-57.951207, -26.860485], [-57.956314, -26.859069], [-57.957472, -26.858418], [-57.961721, -26.856044], [-57.963352, -26.85547], [-57.964897, -26.855164], [-57.966442, -26.855106], [-57.969102, -26.855374], [-57.976419, -26.85614], [-57.98011, -26.856523], [-57.981998, -26.856752], [-57.983844, -26.856867], [-57.991343, -26.857202], [-57.992169, -26.857308], [-57.992995, -26.857489], [-57.994637, -26.857901], [-57.997952, -26.858676], [-57.998617, -26.858791], [-57.999315, -26.858839], [-58.000484, -26.858877], [-58.002405, -26.858686], [-58.004357, -26.858437], [-58.028883, -26.855623], [-58.036394, -26.854666], [-58.042445, -26.853977], [-58.054761, -26.85256], [-58.056199, -26.852617], [-58.0571, -26.852751], [-58.058238, -26.852981], [-58.05901, -26.853249], [-58.060083, -26.853709], [-58.061134, -26.85434], [-58.064696, -26.856886], [-58.065941, -26.857614], [-58.069117, -26.858686], [-58.073987, -26.860409], [-58.074975, -26.860753], [-58.076112, -26.861155], [-58.077571, -26.861672], [-58.080189, -26.862553], [-58.081583, -26.86284], [-58.084781, -26.863433], [-58.089544, -26.864295], [-58.092591, -26.864926], [-58.093922, -26.865367], [-58.095059, -26.865864], [-58.097891, -26.86707], [-58.102784, -26.869252], [-58.104157, -26.869884], [-58.105638, -26.870401], [-58.107225, -26.870726], [-58.108599, -26.870764], [-58.109822, -26.870726], [-58.111603, -26.870286], [-58.11304, -26.869788], [-58.115487, -26.868889], [-58.116645, -26.868563], [-58.120036, -26.867893], [-58.125529, -26.866783], [-58.131526, -26.865347], [-58.13306, -26.865003], [-58.134101, -26.864898], [-58.136043, -26.864878], [-58.140345, -26.865137], [-58.149164, -26.865491], [-58.150087, -26.865386], [-58.151031, -26.865185], [-58.153595, -26.864467], [-58.159196, -26.86307], [-58.169817, -26.860887], [-58.191275, -26.85658], [-58.194129, -26.856006], [-58.196511, -26.855489], [-58.201897, -26.854436], [-58.212068, -26.852694], [-58.232624, -26.849191], [-58.236122, -26.848597], [-58.239533, -26.848004], [-58.246185, -26.846874], [-58.259425, -26.844634], [-58.285861, -26.840221], [-58.290088, -26.839494], [-58.291021, -26.841753], [-58.292437, -26.845376], [-58.293285, -26.84741], [-58.294122, -26.84944], [-58.294519, -26.850416], [-58.294894, -26.851421], [-58.295001, -26.851689], [-58.295136, -26.851952], [-58.29542, -26.852426], [-58.295978, -26.853383], [-58.296407, -26.854092], [-58.296761, -26.854757], [-58.297078, -26.855508], [-58.297394, -26.856202], [-58.298542, -26.859203], [-58.297533, -26.856542], [-58.296949, -26.85524], [-58.296664, -26.854584], [-58.296343, -26.853967], [-58.296289, -26.854015], [-58.296332, -26.854034]]"
ci9buk7tl2miwjmm435t988x8,MANTENIMIENTO DE CAMINOS NO PAVIMENTADOS EN SAN PEDRO,"Une a los distritos de Gral. Elizardo Aquino, Choré y San Pablo.",LineString,"[[-56.868152, -24.109447], [-56.868216, -24.109585], [-56.868195, -24.109878], [-56.868109, -24.110583], [-56.868023, -24.111289], [-56.867916, -24.112072], [-56.867852, -24.112562], [-56.867144, -24.118653], [-56.866199, -24.126917], [-56.857681, -24.126114], [-56.84854, -24.125194], [-56.84266, -24.126486], [-56.837532, -24.127681], [-56.833713, -24.128484], [-56.832275, -24.128581], [-56.824014, -24.127837], [-56.822533, -24.12772], [-56.821053, -24.127524], [-56.818649, -24.126662], [-56.818113, -24.126388], [-56.815903, -24.1249], [-56.813328, -24.123157], [-56.812276, -24.122844], [-56.811676, -24.122746], [-56.811118, -24.122726], [-56.808607, -24.123705], [-56.802513, -24.127661], [-56.799659, -24.129561], [-56.796762, -24.131382], [-56.795647, -24.133477], [-56.791162, -24.138118], [-56.788759, -24.140448], [-56.787278, -24.141408], [-56.783459, -24.142896], [-56.776528, -24.145324], [-56.765542, -24.15018], [-56.764855, -24.150493], [-56.764276, -24.15061], [-56.744191, -24.150434], [-56.72342, -24.150043], [-56.722991, -24.160106], [-56.722669, -24.169073], [-56.712498, -24.169229], [-56.710438, -24.168994], [-56.700696, -24.161281], [-56.690225, -24.15294], [-56.669561, -24.136767], [-56.668467, -24.13757], [-56.666557, -24.139293], [-56.661922, -24.143346], [-56.654219, -24.150199], [-56.641334, -24.161995], [-56.628384, -24.175004], [-56.615166, -24.18947], [-56.612892, -24.191779], [-56.606798, -24.191329], [-56.60079, -24.190801], [-56.588709, -24.189822], [-56.583366, -24.189705], [-56.581585, -24.189705], [-56.577701, -24.190253], [-56.573839, -24.190879], [-56.574633, -24.192112], [-56.574912, -24.192817], [-56.574976, -24.193521], [-56.574482, -24.197612], [-56.574118, -24.200665], [-56.57386, -24.203699], [-56.573603, -24.204423], [-56.571071, -24.20593], [-56.57032, -24.206361], [-56.569848, -24.206635], [-56.56944, -24.206948], [-56.569333, -24.207652], [-56.569483, -24.208161], [-56.572637, -24.211019], [-56.577422, -24.215324], [-56.581413, -24.218964], [-56.583344, -24.220705], [-56.58534, -24.222604], [-56.58873, -24.225598], [-56.592051, -24.228552], [-56.598687, -24.234442], [-56.598944, -24.234691], [-56.599132, -24.235058], [-56.599169, -24.235401], [-56.599132, -24.235582], [-56.599041, -24.235821], [-56.598853, -24.23611], [-56.597464, -24.237397], [-56.595811, -24.238903], [-56.59564, -24.239314], [-56.595404, -24.244205], [-56.595125, -24.249253], [-56.594245, -24.25299], [-56.594138, -24.253772], [-56.594181, -24.257568], [-56.594223, -24.258546], [-56.594588, -24.260835], [-56.595125, -24.264102], [-56.595211, -24.265138], [-56.595103, -24.266518], [-56.594921, -24.267897], [-56.59491, -24.269168], [-56.594899, -24.272278], [-56.593859, -24.277931], [-56.593344, -24.282117], [-56.592872, -24.285119], [-56.592743, -24.286303], [-56.593515, -24.290645], [-56.593966, -24.292874], [-56.593966, -24.293598], [-56.593194, -24.297509], [-56.592357, -24.30144], [-56.591992, -24.303494], [-56.590468, -24.3076], [-56.590297, -24.308265], [-56.589546, -24.314053], [-56.589074, -24.318786], [-56.588172, -24.328249], [-56.58828, -24.328366], [-56.597549, -24.329188], [-56.597828, -24.329481], [-56.596949, -24.337262], [-56.596519, -24.340918], [-56.596176, -24.343792], [-56.596208, -24.344545], [-56.59653, -24.345219], [-56.596959, -24.345845], [-56.597818, -24.347057], [-56.599502, -24.34952], [-56.602914, -24.354368], [-56.604158, -24.35646], [-56.604995, -24.358043], [-56.605703, -24.359646], [-56.606433, -24.361933], [-56.606733, -24.362461], [-56.607077, -24.362989], [-56.608064, -24.363536], [-56.609179, -24.364142], [-56.61036, -24.36465], [-56.611797, -24.365002], [-56.613793, -24.36553], [-56.614544, -24.365862], [-56.616818, -24.367289], [-56.621325, -24.370221], [-56.622891, -24.371726], [-56.623663, -24.372273], [-56.624457, -24.372742], [-56.629843, -24.374267], [-56.631453, -24.374834], [-56.633491, -24.375498], [-56.635229, -24.375811], [-56.639177, -24.376651], [-56.642782, -24.377453], [-56.645572, -24.377824], [-56.647417, -24.377922], [-56.649305, -24.377843], [-56.651816, -24.377785], [-56.653103, -24.377902], [-56.658747, -24.380345], [-56.662781, -24.381068], [-56.664862, -24.381244], [-56.669797, -24.381596], [-56.673059, -24.383042], [-56.676299, -24.384782], [-56.67896, -24.385231], [-56.679883, -24.385505], [-56.682457, -24.386775], [-56.683187, -24.38742], [-56.683831, -24.388514], [-56.685161, -24.389863], [-56.685934, -24.39043], [-56.686878, -24.391074], [-56.690032, -24.392892], [-56.693959, -24.395061], [-56.695332, -24.395569], [-56.702649, -24.398383], [-56.703636, -24.400845], [-56.704258, -24.402506], [-56.704473, -24.403347], [-56.704967, -24.405008], [-56.705503, -24.405985], [-56.706125, -24.406883], [-56.706683, -24.407118], [-56.71621, -24.406922], [-56.720738, -24.408153], [-56.725566, -24.409267], [-56.731231, -24.40999], [-56.733183, -24.410479], [-56.735651, -24.411886], [-56.73829, -24.413214], [-56.744964, -24.416223], [-56.758546, -24.422378], [-56.764833, -24.424449], [-56.771421, -24.428415], [-56.774919, -24.428337], [-56.778481, -24.428161], [-56.783738, -24.426266], [-56.789488, -24.424957], [-56.790282, -24.424898], [-56.795282, -24.425621], [-56.799638, -24.426051], [-56.800389, -24.426168], [-56.804122, -24.428004], [-56.811053, -24.429606], [-56.817255, -24.430114], [-56.818027, -24.430232], [-56.822297, -24.43281], [-56.822769, -24.432771], [-56.824378, -24.430837], [-56.826117, -24.42904], [-56.830043, -24.425816], [-56.832039, -24.425367], [-56.832189, -24.425836], [-56.832575, -24.426109], [-56.833477, -24.4265], [-56.835558, -24.427321], [-56.837038, -24.427575], [-56.838648, -24.427692], [-56.840279, -24.428141], [-56.841866, -24.428845], [-56.843712, -24.429782], [-56.844205, -24.430193], [-56.845042, -24.431541], [-56.848411, -24.432771], [-56.85429, -24.435096], [-56.857659, -24.436464], [-56.86017, -24.437577], [-56.86414, -24.439785], [-56.868238, -24.441914], [-56.869761, -24.442715], [-56.870555, -24.442969], [-56.872272, -24.443555], [-56.874139, -24.444102], [-56.876006, -24.445078], [-56.877036, -24.44543], [-56.878066, -24.445352], [-56.887593, -24.442734], [-56.890254, -24.441914]]"
ci9buk7tp2mixjmm459qkykui,MANTENIMIENTO DE CAMINOS NO PAVIMENTADOS - SAN PEDRO,"Obras de mantenimiento en: Camino B08 Choré – Colonia Cocuera – San Pablo (35,5 Km) - Camino B09 Choré – Jhugua Rey (29,0 Km) - Jhugua Rey -  Gral. Aquino (25,5 km).",Point,"[-56.664047, -24.382124]"
